POST_ID,TEXTO,LIKES
2400326446872680,"Mundo Geek SM
November 21, 2019 at 5:12 PM ·
Acompáñanos a nuestra apertura en San Miguel, llévate descuentos increíbles y celebra con nosotros la llegada a San Miguel.
Plaza Suiza, sexta Calle poniente #407 barrio San Felipe, local 14, San miguel.
Contiguo a TVO canal 23 San Miguel.
Tel.: 2607-1351 Whatsapp: 7325-8356",6,2019-11-21 17:57:03
2400165380222120,"Atención San Miguel, estamos listos para atenderles, este día lunes los esperamos, habrán precios de locura :D
MON, NOV 25, 2019
Inauguración Geek",4,2019-11-21 13:12:11
2381128335459158,ATENCION!!!,115,2019-10-31 11:42:42
2380254122213246,,23,2019-10-30 11:02:58
2374522889453036,"Dell Latitude E7440 14""
Core i5 4300U 2.00GHz
8GB de RAM / 128GB SSD
Pantalla de 14"" TÁCTIL
por solo $295.00
Gratis funda para laptop
6 meses de garantía
Pregunta por pagos 3 ó 6 meses sin intereses con BAC Credomatic
Tel.: 2222-9784 Whatsapp 7325-8356
Estamos en Plaza Las Américas, Calle Arce entre 19 y 21 av. sur, Local #16, San salvador
Abierto de lunes a Viernes de 9:00am a 6:00pm Sábados de 9:00am a 1:00pm",275,2019-10-23 12:40:28
2363224400582885,,37,2019-10-10 15:19:12
2348475415391117,¿Como consideran nuestro servicio a domicilio?,3,2019-09-20 14:45:44
2346107712294554,"Core i3 completa
$199.00 $225.00",0,2019-09-17 08:50:17
2345665982338727,"Core i3 completa
$199.00 $225.00",0,2019-09-16 16:35:23
2345631972342128,"Core i3 completa
$199.00 $225.00",0,2019-09-16 15:21:34
2337811329790859,"Core 2 Quad 2.66GHZ
2GB de RAM DDR3
Disco Duro de #250GB
Monitor LCD 22 pulgadas
Teclado, mouse y bocinas
COMPLETA $139.95
SOLO CPU $90
6 meses de garantía
Pregunta por pagos de 3 ó 6 meses sin intereses con tarjetas de crédito BAC Credomatic
Tel.: 2222-9784 Whatsapp 7325-8356
Estamos en Plaza Las Américas, Calle Arce entre 19 y 21 av. sur, Local #16, San salvador
Abierto de lunes a Viernes de 9:00am a 6:00pm Sábados de 9:00am a 1:00pm",22,2019-09-05 14:41:00
2332584080313584,"Dell Latitude E5440 14""
Core i5 4300U 1.90GHz
8GB de RAM / 128GB SSD
Video Dedicado Nvidia GT720 2GB
por solo $295.00
6 meses de garantía
Pregunta por pagos 3 ó 6 meses sin intereses con BAC Credomatic
Tel.: 2222-9784 Whatsapp 7325-8356
Estamos en Plaza Las Américas, Calle Arce entre 19 y 21 av. sur, Local #16, San salvador
Abierto de lunes a Viernes de 9:00am a 6:00pm Sábados de 9:00am a 1:00pm",11,2019-08-28 15:50:54
2332583346980324,"Dell Latitude E5440 14""
Core i5 4300U 1.90GHz
8GB de RAM / 128GB SSD
Por solo $275
6 meses de garantía
Pregunta por pagos 3 ó 6 meses sin intereses con BAC Credomatic
Tel.: 2222-9784 Whatsapp 7325-8356
Estamos en Plaza Las Américas, Calle Arce entre 19 y 21 av. sur, Local #16, San salvador
Abierto de lunes a Viernes de 9:00am a 6:00pm Sábados de 9:00am a 1:00pm",23,2019-08-28 15:49:03
2332514620320530,"Warcraft Power Bank 13,400 MAH
$25.00",0,2019-08-28 12:56:06
2332496550322337,"Warcraft Power Bank 13,400 MAH
$25.00",0,2019-08-28 12:15:03
