POST_ID,TEXTO,LIKES
1471073283072737,"(((((((((((((((((Agotadas)))))))))))))))))))))))))))))))
Dispnible ASUS ROG Zephyrus S Ultra Slim Laptop $1550.00 (opn box)
NVIDIA GeForce RTX 2070 8GB GDDR6 con ROG Boost (Base: 1215 MHz, Boost: 1440 MHz)
Procesador Intel Core i7-8750H
Pantalla Pantone Validated Pantone FHD de 17.3 ”y 144 Hz (1920x1080) con NVIDIA G-Sync
16GB DDR4 2666MHz RAM | SSD PCIe NVMe de 512gb (ROG HyperDrive) | Windows 10 Home
Gigabit Wave 2 Wi-Fi 5 (802.11ac) | Teclado Aura Sync RGB por tecla
Cámara web desmontable / externa 1080p 60hz
Factor de forma compacto y portátil de solo 0,74 ”(18,7 mm) de grosor
Sistema de enfriamiento inteligente actualizado con sistema aerodinámico activo exclusivo de ROG
Modo de cambio de GPU: cambie entre gráficos integrados y discretos",5,2020-02-04 11:38:04
1468996026613796,"Nuevo ingreso saphire r9 fury nitro 4gb memoria hbm. $179.99 puede reservar la suya
Características:
Hasta 4 Monitores
Sistema de refrigeración Sapphire Tri-X
Sapphire diseño original de PCB
Vulcan
API Manto
DirectX® 12 gráficos
Open GL 4.4 ayuda
OpenCL 1.2 Apoyo
AMD Resolución Súper virtual ( VSR ) la aceleración
AMD Libre -Sync Tecnología
Soporte AMD Liquid VR
AMD de última generación soporte de pantalla integrada
Frame Rate Control de Target
Dual BIOS UEFI ( Dual)
HDMI 1.4a : / soporte de vídeo 4K Quad HD
Especificaciones:
GPU
3584 Stream Processors
38 nm
Graphics Core Next (GCN)
1050 MHz Reloj Motor
Interfaz PCI-Express 3.0
Memoria
4096 bit Memory Bus
HBM Tipo de memoria
1000 MHz Reloj efectivo Memoria
4096 MB Tamaño
Monitores Máximo 4 Salidas
Salidas
1 x DVI-D
1 x HDMI
3 x DisplayPort
Resolución Resolución 4096X2160 Pixel DisplayPort
API
OpenGL 4.5
OpenCL 1.2
DirectX® 12
con Shader Model 5.0
Características:
AMD CrossFire XDMA
AMD PowerTune
AMD ZeroCore Power Technology
FreeSync Technology
AMD Eyefinity
Quad HD Display (4K*2K Support)
Video Codec Engine (VCE)
AMD HD3D Technology
16K Hours Capacitor
Intelligent Fan Control
10mm Heat Pipe
Dual BIOS
AMD Tress FX technology
AMD Liquid VR technology
AMD Virtual Super Resolution(VSR)
AMD TrueAudio technology
Universal Video Decoder (UVD)
Cooling
Tri-X fans
Two-ball bearing
Factor de forma
2.5 Part Slot Occupied
Dimensiones 307x125x45 mm
Consumo 375W
OS
Windows 10
Windows 8 / 8.1
Windows 7?
Requisitos del sistema
750 Watt Power Supply (Suggestion)
2 x 8-pin AUX Power Connector
4 x 8-pin AUX Power Connector is required for CrossFireX™ system.
CD-ROM or DVD-ROM drive for installing software
PCI Express® based PC is required with one X16 lane graphics slot available on the motherboard.
Accessory
1 x HDMI to HDMI Cable",7,2020-02-02 09:40:04
1466112633568802,Disponible MSI RX 580 8GB DDR5 Con garantia $210.00,10,2020-01-30 20:33:06
1458183574361708,"Si te gusta jugar retro sin instalar ningún emulador esta es una buena opcion.
https://www.playemulator.com/ps1-online/crash-bandicoot-2-cortex-strikes-back/
PLAYEMULATOR.COM
Crash Bandicoot 2 Cortex Strikes Back - PSX Game Online - Play Emulator",3,2020-01-23 12:01:14
1454764131370319,Nuevo ingreso FIN DE Mes MSI RX 580 8GB LEVEMENTE USADAS CON GARANTIA $210.00 reserva la tuya,11,2020-01-19 16:36:36
1443057845874281,Motherboard mini itx socket 775 ddr3 soporta procesadores core 2 Quad nuevas $55.00,10,2020-01-10 12:36:40
1413600642153335,,3,2019-12-17 19:35:46
1401506253362774,"https://youtu.be/fA9UGweGJ-s
YOUTUBE.COM
Red Dead Redemption 2 | PC Benchmark R9 380 4GB + RYZEN 5 2600 | 1080p",2,2019-12-07 17:54:47
1401502230029843,oferta $129.99 MSI R9 380 4GB DDR5 CORRIENDO CUALQUIER JUEGO 1080P,12,2019-12-07 17:49:45
1371126053067461,"https://www.epicgames.com/store/es-ES/collection/free-game-collection
Juegos gratis en epic store...",6,2019-11-11 21:37:00
1364335493746517,"Descuento especial para seguidores de pc gm $10.00c/u
Pequeña Lulu
November 5, 2019 at 3:22 PM ·
Tazas gameboy con recipiente para galletas $12.00",6,2019-11-05 15:24:41
1364334440413289,"Descuento especial para pc gm $10.00 c/u
Pequeña Lulu
November 5, 2019 at 3:21 PM ·
Tazas en forma de control gaming $12.00",0,2019-11-05 15:23:26
1357158427797557,"https://youtu.be/ThDz1rqho0E
YOUTUBE.COM
Battlefield™ corriendo gtx 050ti 4gb",3,2019-10-31 10:04:06
1326386004208133,MSI GTX 770 4GB 256BITS EDICION OC GAMIG EN LIQUIDACIÓN PRECIO DE REMATE $129.99 CON GARANTÍA CORRIENDO CUALQUIER JUEGO RECIENTE O NO RECIENTE EN 1080P,4,2019-10-03 10:18:36
1321494061363994,"MSI GTX 770 gaming 4gb en oferta 28,29,30,1 de octubre ((((($129.00))))))",8,2019-09-28 10:52:01
1316650111848389,batman arkham knight corriendo en la MSI R9 380 4GB EDICION ARMOR 256 BITS TODO EN ULTRA 1080P PROMEDIO 60FPS $135.99,3,2019-09-23 10:57:11
1306339136212820,"Shadow of the Tomb Raider con R9 380 4GB 1080P DETALLES EN ULTRA $135.00 ENVIOS A NIVEL NACIONAL
",4,2019-09-12 00:09:55
1299768393536561,CONTROL corriendo con R9 380 4GB $135.99 1080p detalles altos,4,2019-09-04 10:29:12
1292191157627618,solo por esta semana msi r9 380 armor 4gb ddr5 pci 3.0 256 bits $139.99 con garantia..,13,2019-08-26 10:27:57
1288151298031604,"Que no podes jugar si no tenes una RTX pues te comento que si tenemos opciones para poder jugar a 1080 en full.
MSI R9 380 4GB JUST CAUSE 4 1080P TODO EN ULTRA $149.99 CON GARANTIA",5,2019-08-21 13:36:02
1284619501718117,(((Disponibles>))))) pny gtx 1050 ti xlr8 oc 4gb ddr5 levemente usadas como nuevas $167.99 no incluye caja u accesorios,11,2019-08-17 08:20:47
